baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardTimeCoverageInRiverOrEnemyHalf,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,deathsByEnemyChamps,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsWithin30SecondsOfSpawn,firstTurretKilled,gameLength,goldPerMinute,highestCrowdControlScore,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsUnderOwnTurret,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,multiKillOneSpell,multiTurretRiftHeraldCount,mythicItemUsed,outerTurretExecutesBefore10Minutes,riftHeraldTakedowns,scuttleCrabKills,soloKills,stealthWardsPlaced,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,gameId,summonerName,earliestDragonTakedown,highestWardKills,junglerKillsEarlyJungle,killsOnLanersEarlyJungleAsJungler,mythicItemUsedImg,earliestBaron,teleportTakedowns,fasterSupportQuestCompletion,baronBuffGoldAdvantageOverThreshold
0.0,0.0,0.0,0.0,0.6614851741634572,3.0,140.8394467989459,0.2527269145930727,0.0,0.0,0.0,1322.09375,8.0,0.0,0.0,858.9213338,1433.0479996,367.10052693844887,-,0.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Virtude Radiante,0.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,1.0,0.08728805295361855,0.0,2.0,2.0,4.0,0.0,0.0,0.020155906677246094,0.9579858982173965,1.0,1.0,0.0,2677230,JDG 369,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6667_tank_t4_radiantvirtue.png,1279.6719897,,-,1.0
1.0,0.0,2.0,0.0,0.6499321634446109,6.0,272.401949179885,0.34077001178329486,0.0,3.0,0.0,205.6737060546875,11.0,5.0,0.0,858.9213338,1433.0479996,395.6216434102338,-,2.0,1.0,68.00000008940697,0.0,7.0,0.5833333333333334,0.0,0.0,0.0,2.0,0.0,0.0,8.000000059604645,0.0,2.0,0.0,0.0,0.0,Proteção Imutável,0.0,2.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.1688265347891204,0.0,2.0,2.0,3.0,0.0,0.0,1.1401805877685547,1.5548171412374656,10.0,9.0,1.0,2677230,JDG Kanavi,716.2229952,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3001_support_lunari.png,1279.6719897,,-,1.0
1.0,0.0,0.0,0.0,0.7896420581975321,6.0,661.6414831679795,0.14069391662089392,0.0,1.0,0.0,0.0,6.0,0.0,0.0,858.9213338,1433.0479996,547.8145267554722,-,0.0,0.0,0.0,0.0,10.0,0.8333333333333334,0.0,1.0,0.0,91.0,1.0,0.0,102.74999979138374,0.0,4.0,0.0,0.0,0.0,Eclipse,0.0,1.0,1.0,1.0,2.0,0.0,10.0,0.0,0.0,1.0,0.4100654903986002,0.0,2.0,4.0,6.0,0.0,0.0,-0.40792351961135864,1.0867622771595395,5.0,5.0,1.0,2677230,JDG knight,716.2229952,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6692_assassin_t4_eclipse.png,1279.6719897,,-,1.0
1.0,0.0,0.0,0.0,0.6113026217855376,6.0,455.01842392544245,0.1119912640637784,0.0,1.0,1.0,0.0,0.0,0.0,0.0,858.9213338,1433.0479996,545.3129886215432,-,0.0,0.0,0.0,0.0,7.0,0.5833333333333334,0.0,1.0,0.0,72.0,1.0,0.0,213.00000002980232,0.0,5.0,0.0,0.0,0.0,Arco-escudo Imortal,0.0,0.0,0.0,0.0,5.0,1.0,7.0,0.0,0.0,1.0,0.2820067330935678,0.0,2.0,5.0,7.0,0.0,0.0,-0.22476202249526978,2.1370295857188335,16.0,11.0,1.0,2677230,JDG Ruler,1044.1560047,1.0,0.0,1.0,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6673_marksman_t4_crimsonshieldbow.png,1279.6719897,,-,1.0
1.0,0.0,0.0,0.0,0.6842939067454248,10.0,83.60068297596908,0.1538178929389601,3.0,1.0,0.0,2849.4599609375,10.0,0.0,0.0,858.9213338,1433.0479996,270.2548852267,-,0.0,0.0,0.0,0.0,2.6666666666666665,0.6666666666666666,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,21.0,1.0,8.0,0.0,0.0,1.0,0.05181318876509307,0.0,2.0,0.0,4.0,0.0,0.0,1.366922378540039,2.366829473867347,4.0,2.0,1.0,2677230,JDG MISSING,716.2229952,-,-,-,-,1279.6719897,,-,1.0
0.0,0.0,0.0,0.0,0.7105058523400489,2.0,444.808160990018,0.20425255244211518,3.0,0.0,0.0,0.0,14.0,0.0,0.0,-,1433.0479996,346.2103672432704,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,Explocinturão Hextec,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2617974641659272,0.0,0.0,1.0,0.0,0.0,0.0,-0.01975768804550171,0.9390583397971508,4.0,2.0,0.0,2677230,BLG Bin,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3152_mage_t4_hextechrocketbelt.png,-,,-,-
0.0,0.0,0.0,0.0,0.1654013055153494,5.0,277.42381325396605,0.34513511215380727,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-,1433.0479996,310.111529519803,-,2.0,1.0,52.00000008940697,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,5.0,0.0,0.0,4.000000029802322,0.0,1.0,0.0,0.0,0.0,-,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.16328129107945913,0.0,0.0,0.0,0.0,0.0,0.0,0.6889710426330566,1.835509988053562,7.0,6.0,0.0,2677230,BLG XUN,-,-,-,-,-,-,,-,-
0.0,0.0,0.0,0.0,0.7906727274426739,4.0,376.26885371286073,0.1605889512003481,3.0,0.0,1.0,1091.9169921875,28.0,0.0,0.0,-,1433.0479996,339.88284263355325,-,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,80.0,1.0,0.0,168.0,0.0,5.0,0.0,0.0,0.0,Coroa da Rainha Despedaçada,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.22145778874065608,0.0,0.0,0.0,0.0,0.0,0.0,-0.5775104761123657,0.9999607501106007,3.0,2.0,1.0,2677230,BLG Yagao,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/4644_crown.png,-,,-,-
0.0,0.0,0.0,0.0,-,2.0,418.3751282527523,0.16937774374410494,1.0,0.0,0.0,0.0,9.0,0.0,0.0,-,1433.0479996,341.39698853139174,-,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,74.0,0.0,0.0,51.749999821186066,0.0,1.0,0.0,0.0,0.0,Arco-escudo Imortal,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2462399687156888,0.0,0.0,0.0,0.0,0.0,0.0,-0.5327496528625488,0.7264887795293136,3.0,3.0,1.0,2677230,BLG Elk,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6673_marksman_t4_crimsonshieldbow.png,-,,-,-
0.0,0.0,0.0,1.0,0.7952636526606962,8.0,182.17854917743261,0.12064564045962453,2.0,0.0,0.0,2348.53515625,2.0,0.0,0.0,-,1433.0479996,213.13390295824257,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hino Bélico de Shurelya,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.10722348729826883,0.0,0.0,0.0,0.0,0.0,0.0,0.2899264097213745,2.756610969111699,6.0,5.0,0.0,2677230,BLG ON,-,-,0.0,0.0,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2065_tank_t4_shurelyasbattlesong.png,-,,1.0,-
