level,timestamp,type,gameId,summonerName
5,4.402566666666667,LEVEL_UP,2677229,BLG Bin
4,4.552,LEVEL_UP,2677229,JDG Kanavi
4,4.648116666666667,LEVEL_UP,2677229,BLG Elk
3,4.7178,LEVEL_UP,2677229,BLG ON
4,4.8399,LEVEL_UP,2677229,BLG XUN
3,4.855433333333333,LEVEL_UP,2677229,JDG MISSING
5,4.913233333333333,LEVEL_UP,2677229,JDG 369
6,5.353383333333333,LEVEL_UP,2677229,BLG Yagao
6,5.5939,LEVEL_UP,2677229,JDG knight
6,5.6767666666666665,LEVEL_UP,2677229,BLG Bin
5,5.778566666666666,LEVEL_UP,2677229,BLG XUN
4,5.96105,LEVEL_UP,2677229,BLG ON
5,6.189533333333333,LEVEL_UP,2677229,BLG Elk
5,6.221783333333334,LEVEL_UP,2677229,JDG Ruler
5,6.221783333333334,LEVEL_UP,2677229,JDG Kanavi
6,6.448816666666667,LEVEL_UP,2677229,JDG 369
7,6.592366666666667,LEVEL_UP,2677229,JDG knight
7,6.687433333333333,LEVEL_UP,2677229,BLG Bin
7,6.690216666666666,LEVEL_UP,2677229,BLG Yagao
4,6.8986,LEVEL_UP,2677229,JDG MISSING
6,7.509733333333333,LEVEL_UP,2677229,JDG Ruler
6,7.690366666666667,LEVEL_UP,2677229,BLG Elk
5,7.690366666666667,LEVEL_UP,2677229,BLG ON
7,7.745383333333334,LEVEL_UP,2677229,JDG 369
6,7.8416,LEVEL_UP,2677229,JDG Kanavi
6,8.088266666666666,LEVEL_UP,2677229,BLG XUN
5,8.150383333333334,LEVEL_UP,2677229,JDG MISSING
8,8.264966666666666,LEVEL_UP,2677229,BLG Yagao
8,8.355566666666666,LEVEL_UP,2677229,BLG Bin
8,8.5569,LEVEL_UP,2677229,JDG knight
7,9.269016666666667,LEVEL_UP,2677229,JDG Ruler
8,9.361433333333334,LEVEL_UP,2677229,JDG 369
7,9.5644,LEVEL_UP,2677229,BLG Elk
7,9.600666666666667,LEVEL_UP,2677229,BLG XUN
7,9.7623,LEVEL_UP,2677229,JDG Kanavi
9,9.867733333333334,LEVEL_UP,2677229,BLG Bin
9,10.338383333333333,LEVEL_UP,2677229,BLG Yagao
9,10.34945,LEVEL_UP,2677229,JDG knight
6,10.6282,LEVEL_UP,2677229,JDG MISSING
9,10.698733333333333,LEVEL_UP,2677229,JDG 369
8,11.131133333333333,LEVEL_UP,2677229,JDG Ruler
8,11.2429,LEVEL_UP,2677229,BLG Elk
6,11.453833333333334,LEVEL_UP,2677229,BLG ON
10,11.505433333333333,LEVEL_UP,2677229,BLG Bin
8,11.9682,LEVEL_UP,2677229,JDG Kanavi
10,12.033816666666667,LEVEL_UP,2677229,BLG Yagao
10,12.135033333333332,LEVEL_UP,2677229,JDG knight
10,12.136683333333334,LEVEL_UP,2677229,JDG 369
8,12.201883333333333,LEVEL_UP,2677229,BLG XUN
9,12.618283333333334,LEVEL_UP,2677229,JDG Ruler
7,12.745333333333333,LEVEL_UP,2677229,JDG MISSING
7,13.233433333333334,LEVEL_UP,2677229,BLG ON
9,13.312266666666666,LEVEL_UP,2677229,BLG Elk
11,13.5734,LEVEL_UP,2677229,BLG Yagao
9,13.594566666666667,LEVEL_UP,2677229,JDG Kanavi
11,13.737983333333334,LEVEL_UP,2677229,BLG Bin
11,14.152083333333334,LEVEL_UP,2677229,JDG knight
9,14.330133333333333,LEVEL_UP,2677229,BLG XUN
11,14.457966666666668,LEVEL_UP,2677229,JDG 369
10,14.52905,LEVEL_UP,2677229,JDG Ruler
10,15.0675,LEVEL_UP,2677229,JDG Kanavi
10,15.152083333333334,LEVEL_UP,2677229,BLG Elk
8,15.158783333333334,LEVEL_UP,2677229,BLG ON
8,15.684616666666667,LEVEL_UP,2677229,JDG MISSING
12,15.7981,LEVEL_UP,2677229,BLG Bin
12,16.2075,LEVEL_UP,2677229,BLG Yagao
12,16.264766666666667,LEVEL_UP,2677229,JDG 369
12,16.736,LEVEL_UP,2677229,JDG knight
11,17.061616666666666,LEVEL_UP,2677229,JDG Ruler
11,17.269016666666666,LEVEL_UP,2677229,JDG Kanavi
10,17.522566666666666,LEVEL_UP,2677229,BLG XUN
11,17.688016666666666,LEVEL_UP,2677229,BLG Elk
13,18.1205,LEVEL_UP,2677229,BLG Bin
13,18.440316666666668,LEVEL_UP,2677229,JDG 369
13,18.49865,LEVEL_UP,2677229,BLG Yagao
9,18.660166666666665,LEVEL_UP,2677229,JDG MISSING
9,18.927316666666666,LEVEL_UP,2677229,BLG ON
12,19.008,LEVEL_UP,2677229,JDG Ruler
12,19.239333333333335,LEVEL_UP,2677229,BLG Elk
13,19.4119,LEVEL_UP,2677229,JDG knight
11,19.9349,LEVEL_UP,2677229,BLG XUN
12,20.0263,LEVEL_UP,2677229,JDG Kanavi
10,21.001766666666665,LEVEL_UP,2677229,JDG MISSING
14,21.33415,LEVEL_UP,2677229,JDG 369
14,21.5754,LEVEL_UP,2677229,BLG Yagao
13,21.8557,LEVEL_UP,2677229,BLG Elk
14,21.992,LEVEL_UP,2677229,BLG Bin
10,22.945783333333335,LEVEL_UP,2677229,BLG ON
15,23.52345,LEVEL_UP,2677229,BLG Bin
13,23.565133333333332,LEVEL_UP,2677229,JDG Ruler
12,23.84605,LEVEL_UP,2677229,BLG XUN
13,23.884316666666667,LEVEL_UP,2677229,JDG Kanavi
15,23.93145,LEVEL_UP,2677229,JDG 369
14,24.640833333333333,LEVEL_UP,2677229,BLG Elk
11,24.9302,LEVEL_UP,2677229,JDG MISSING
14,25.306533333333334,LEVEL_UP,2677229,JDG knight
13,25.483933333333333,LEVEL_UP,2677229,BLG XUN
15,25.483933333333333,LEVEL_UP,2677229,BLG Yagao
11,25.483933333333333,LEVEL_UP,2677229,BLG ON
14,25.850883333333332,LEVEL_UP,2677229,JDG Ruler
14,25.898116666666667,LEVEL_UP,2677229,JDG Kanavi
16,26.31465,LEVEL_UP,2677229,BLG Bin
15,26.952983333333332,LEVEL_UP,2677229,BLG Elk
14,27.766333333333332,LEVEL_UP,2677229,BLG XUN
15,28.028166666666667,LEVEL_UP,2677229,JDG Kanavi
12,28.171633333333332,LEVEL_UP,2677229,JDG MISSING
15,28.526933333333332,LEVEL_UP,2677229,JDG Ruler
12,28.5364,LEVEL_UP,2677229,BLG ON
17,28.546683333333334,LEVEL_UP,2677229,BLG Bin
16,28.731116666666665,LEVEL_UP,2677229,JDG 369
16,28.836883333333333,LEVEL_UP,2677229,BLG Yagao
13,29.2076,LEVEL_UP,2677229,BLG ON
15,29.553933333333333,LEVEL_UP,2677229,BLG XUN
15,29.83415,LEVEL_UP,2677229,JDG knight
16,29.93695,LEVEL_UP,2677229,BLG Elk
16,30.174,LEVEL_UP,2677229,JDG Kanavi
18,30.823666666666668,LEVEL_UP,2677229,BLG Bin
17,30.823666666666668,LEVEL_UP,2677229,BLG Yagao
14,30.823666666666668,LEVEL_UP,2677229,BLG ON
13,30.866183333333332,LEVEL_UP,2677229,JDG MISSING
2,1.7467666666666666,LEVEL_UP,2677230,BLG XUN
2,1.7706,LEVEL_UP,2677230,JDG Kanavi
2,2.1008333333333336,LEVEL_UP,2677230,BLG Yagao
2,2.12975,LEVEL_UP,2677230,JDG knight
2,2.247133333333333,LEVEL_UP,2677230,BLG Bin
3,2.3104666666666667,LEVEL_UP,2677230,BLG XUN
2,2.3965833333333335,LEVEL_UP,2677230,JDG Ruler
2,2.3965833333333335,LEVEL_UP,2677230,JDG MISSING
3,2.4543666666666666,LEVEL_UP,2677230,JDG Kanavi
2,2.5615833333333335,LEVEL_UP,2677230,JDG 369
2,2.6422666666666665,LEVEL_UP,2677230,BLG Elk
2,2.6528,LEVEL_UP,2677230,BLG ON
3,2.6889333333333334,LEVEL_UP,2677230,BLG Yagao
3,2.7294666666666667,LEVEL_UP,2677230,JDG knight
3,2.8149166666666665,LEVEL_UP,2677230,BLG Bin
3,3.0400666666666667,LEVEL_UP,2677230,JDG 369
4,3.36705,LEVEL_UP,2677230,BLG Bin
3,3.3742666666666667,LEVEL_UP,2677230,BLG Elk
4,3.5679666666666665,LEVEL_UP,2677230,JDG knight
4,3.5785,LEVEL_UP,2677230,JDG 369
4,3.60075,LEVEL_UP,2677230,JDG Kanavi
4,3.6452166666666668,LEVEL_UP,2677230,BLG Yagao
3,3.6786333333333334,LEVEL_UP,2677230,BLG ON
3,3.7619666666666665,LEVEL_UP,2677230,JDG Ruler
3,4.448183333333334,LEVEL_UP,2677230,JDG MISSING
4,4.455383333333334,LEVEL_UP,2677230,BLG XUN
5,4.469833333333334,LEVEL_UP,2677230,BLG Yagao
5,4.508783333333334,LEVEL_UP,2677230,JDG 369
5,4.56285,LEVEL_UP,2677230,JDG knight
5,4.6502,LEVEL_UP,2677230,BLG Bin
4,4.819266666666667,LEVEL_UP,2677230,JDG Ruler
4,4.982983333333333,LEVEL_UP,2677230,BLG Elk
4,5.0409,LEVEL_UP,2677230,JDG MISSING
6,5.59105,LEVEL_UP,2677230,BLG Bin
6,5.60935,LEVEL_UP,2677230,JDG knight
4,5.657166666666667,LEVEL_UP,2677230,BLG ON
5,5.765483333333333,LEVEL_UP,2677230,JDG Kanavi
6,5.87325,LEVEL_UP,2677230,BLG Yagao
5,5.918933333333333,LEVEL_UP,2677230,JDG Ruler
6,6.047466666666667,LEVEL_UP,2677230,JDG 369
5,6.405083333333334,LEVEL_UP,2677230,BLG XUN
5,6.405083333333334,LEVEL_UP,2677230,BLG Elk
5,6.619916666666667,LEVEL_UP,2677230,JDG MISSING
7,6.944333333333334,LEVEL_UP,2677230,JDG knight
7,6.9893,LEVEL_UP,2677230,BLG Bin
7,7.077183333333333,LEVEL_UP,2677230,BLG Yagao
6,7.450433333333334,LEVEL_UP,2677230,JDG Kanavi
7,7.5398,LEVEL_UP,2677230,JDG 369
5,7.6382666666666665,LEVEL_UP,2677230,BLG ON
6,8.1581,LEVEL_UP,2677230,BLG Elk
6,8.199916666666667,LEVEL_UP,2677230,JDG Ruler
8,8.351066666666666,LEVEL_UP,2677230,JDG knight
6,8.382166666666667,LEVEL_UP,2677230,BLG XUN
8,8.456166666666666,LEVEL_UP,2677230,BLG Bin
6,8.753333333333334,LEVEL_UP,2677230,JDG MISSING
8,9.163733333333333,LEVEL_UP,2677230,BLG Yagao
8,9.254833333333334,LEVEL_UP,2677230,JDG 369
7,9.41315,LEVEL_UP,2677230,JDG Ruler
6,9.56995,LEVEL_UP,2677230,BLG ON
7,9.6259,LEVEL_UP,2677230,JDG Kanavi
9,10.419266666666667,LEVEL_UP,2677230,JDG knight
7,10.463833333333334,LEVEL_UP,2677230,BLG Elk
9,10.633333333333333,LEVEL_UP,2677230,BLG Bin
9,10.639416666666667,LEVEL_UP,2677230,BLG Yagao
7,10.985166666666666,LEVEL_UP,2677230,BLG XUN
9,11.135033333333332,LEVEL_UP,2677230,JDG 369
8,11.279616666666668,LEVEL_UP,2677230,JDG Ruler
8,11.5731,LEVEL_UP,2677230,BLG Elk
10,12.066066666666666,LEVEL_UP,2677230,JDG knight
10,12.15385,LEVEL_UP,2677230,BLG Bin
8,12.1794,LEVEL_UP,2677230,JDG Kanavi
8,12.40565,LEVEL_UP,2677230,BLG XUN
10,12.614183333333333,LEVEL_UP,2677230,BLG Yagao
10,12.808383333333333,LEVEL_UP,2677230,JDG 369
9,13.089966666666667,LEVEL_UP,2677230,JDG Ruler
