bounty,killStreakLength,shutdownBounty,timestamp,type,gameId,positionX,positionY,victim,killer,assistant1,assistant2,assistant3,assistant4,assistant5
300,3,0,19.527916666666666,CHAMPION_KILL,2677230,11576,7972,BLG ON,JDG knight,JDG Kanavi,JDG Ruler,JDG MISSING,-,-
300,4,0,19.59115,CHAMPION_KILL,2677230,13682,7681,BLG Bin,JDG knight,-,-,-,-,-
274,5,0,20.9265,CHAMPION_KILL,2677230,5602,13936,BLG Bin,JDG knight,JDG Kanavi,JDG MISSING,-,-,-
219,2,0,23.182616666666668,CHAMPION_KILL,2677230,14062,7338,BLG Bin,JDG Ruler,JDG 369,JDG knight,JDG MISSING,-,-
274,6,0,23.210683333333332,CHAMPION_KILL,2677230,13404,6909,BLG XUN,JDG knight,JDG 369,JDG Ruler,JDG MISSING,-,-
274,3,0,23.233983333333335,CHAMPION_KILL,2677230,13702,7356,BLG Yagao,JDG Ruler,JDG knight,JDG MISSING,-,-,-
400,0,0,10.45755,CHAMPION_KILL,2677232,1945,11787,BLG Bin,JDG 369,JDG Kanavi,-,-,-,-
300,0,0,12.56505,CHAMPION_KILL,2677232,10282,4663,BLG Yagao,JDG knight,JDG Kanavi,JDG Ruler,JDG MISSING,-,-
300,0,0,12.602233333333333,CHAMPION_KILL,2677232,11148,5748,BLG XUN,JDG Ruler,JDG Kanavi,JDG knight,JDG MISSING,-,-
300,0,0,12.679683333333333,CHAMPION_KILL,2677232,11330,5154,BLG Elk,JDG Kanavi,JDG knight,JDG Ruler,JDG MISSING,-,-
274,1,0,14.34655,CHAMPION_KILL,2677232,10354,3053,BLG XUN,JDG Kanavi,JDG knight,JDG MISSING,-,-,-
219,1,0,17.513783333333333,CHAMPION_KILL,2677232,9177,5853,BLG XUN,JDG knight,JDG 369,JDG MISSING,-,-,-
274,2,0,17.58725,CHAMPION_KILL,2677232,8716,5400,BLG Yagao,JDG knight,JDG 369,JDG Kanavi,JDG MISSING,-,-
300,0,350,18.899583333333332,CHAMPION_KILL,2677232,2590,13593,JDG knight,BLG XUN,BLG Yagao,-,-,-,-
300,2,0,19.342583333333334,CHAMPION_KILL,2677232,13809,3127,BLG Bin,JDG Kanavi,JDG 369,-,-,-,-
300,0,0,19.834316666666666,CHAMPION_KILL,2677232,3756,12930,BLG XUN,JDG knight,-,-,-,-,-
300,1,0,19.907866666666667,CHAMPION_KILL,2677232,4205,11885,BLG Yagao,JDG knight,-,-,-,-,-
300,1,0,21.846916666666665,CHAMPION_KILL,2677232,4150,3047,BLG XUN,JDG Ruler,JDG Kanavi,JDG knight,JDG MISSING,-,-
