currentGold,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,timeEnemySpentControlled,totalGold,xp,summonerName,timestamp,gameId,abilityHaste,abilityPower,armor,armorPen,armorPenPercent,attackDamage,attackSpeed,bonusArmorPenPercent,bonusMagicPenPercent,ccReduction,cooldownReduction,health,healthMax,healthRegen,lifesteal,magicPen,magicPenPercent,magicResist,movementSpeed,omnivamp,physicalVamp,power,powerMax,powerRegen,spellVamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,positionX,positionY
277,20,0,2,0,10,4338,777,375,BLG ON,3.0005,2677225,0,26,38,0,0,48,101,0,0,0,0,540,668,12,0,0,0,30,330,0,0,162,479,28,0,691,500,61,423,139,165,1115,640,227,0,0,0,12524,2954
52,0,12,3,0,2,66070,927,722,JDG Kanavi,3.0005,2677225,0,0,46,0,0,65,111,0,0,5,0,829,829,26,0,0,0,43,350,0,0,411,469,18,0,3272,0,0,2625,0,1231,8879,0,1231,2982,0,0,1198,2517
420,0,0,3,17,3,12865,920,935,JDG knight,3.0005,2677225,0,0,29,0,0,74,104,0,0,0,0,448,836,71,0,0,0,39,335,0,0,48,516,14,0,154,126,492,3207,395,217,3361,521,716,0,0,6,7226,7619
424,0,0,2,15,4,0,924,485,JDG Ruler,3.0005,2677225,0,0,35,0,0,76,140,0,0,0,0,657,702,8,0,0,0,30,325,0,0,248,296,14,0,0,0,88,3009,0,130,3009,0,218,0,0,0,12282,1947
134,20,0,2,3,5,0,714,405,JDG MISSING,3.0005,2677225,0,14,39,0,0,64,102,0,0,14,0,483,711,16,0,0,0,41,335,0,0,351,351,18,0,61,61,412,390,139,467,1012,200,880,560,0,0,1383,719
385,0,0,3,11,6,10043,885,833,BLG Bin,3.0005,2677225,0,0,42,0,0,79,129,0,0,18,0,476,913,67,0,0,0,43,221,0,0,149,415,17,0,889,167,684,2369,206,158,3259,374,842,0,0,0,2290,12030
417,0,12,3,0,7,45991,917,676,BLG XUN,3.0005,2677225,0,9,52,0,0,68,103,0,0,0,0,639,795,100,0,0,0,35,335,0,0,258,438,67,0,5436,0,0,2157,0,1364,10239,0,1364,2644,0,0,10976,3735
391,0,0,3,14,8,10259,891,738,BLG Yagao,3.0005,2677225,0,24,37,0,0,58,112,0,0,0,0,452,786,94,0,0,0,31,330,0,0,356,639,18,0,1185,492,126,2159,172,468,5736,671,594,2391,6,0,8227,7833
348,0,0,2,11,9,0,848,375,BLG Elk,3.0005,2677225,0,0,35,0,0,82,111,0,0,0,0,653,653,7,0,0,0,30,390,0,0,298,378,13,0,37,0,0,2466,381,61,2504,381,61,0,0,0,12879,3005
79,0,0,4,19,1,51540,1134,1274,JDG 369,4.001016666666667,2677225,0,40,54,0,0,71,104,0,0,0,0,986,986,13,0,0,0,36,330,0,0,971,971,15,0,2989,996,349,2305,142,653,5294,1139,1003,0,0,0,1192,10540
