gameTime,gameId,summonerName,level
104468,2677232,JDG Kanavi,2
131019,2677232,JDG knight,2
131385,2677232,BLG Yagao,2
133826,2677232,BLG Bin,2
141475,2677232,JDG Kanavi,3
152802,2677232,JDG 369,2
153400,2677232,JDG MISSING,2
153400,2677232,JDG Ruler,2
153731,2677232,BLG XUN,3
156301,2677232,BLG Elk,2
156301,2677232,BLG ON,2
159700,2677232,JDG knight,3
163873,2677232,BLG Bin,3
164073,2677232,BLG Yagao,3
176712,2677232,JDG 369,3
188245,2677232,JDG knight,4
198684,2677232,JDG Ruler,3
198684,2677232,JDG MISSING,3
199181,2677232,JDG Kanavi,4
199946,2677232,BLG Yagao,4
205554,2677232,BLG Bin,4
211583,2677232,BLG Elk,3
211583,2677232,BLG ON,3
223329,2677232,JDG 369,4
250785,2677232,BLG XUN,4
265517,2677232,BLG Bin,5
266691,2677232,BLG Elk,4
282305,2677232,JDG knight,5
283506,2677232,JDG 369,5
285209,2677232,JDG Ruler,4
285209,2677232,JDG MISSING,4
314887,2677232,BLG Yagao,5
319452,2677232,BLG Bin,6
333847,2677232,BLG ON,4
345176,2677232,JDG Kanavi,5
348083,2677232,JDG 369,6
375400,2677232,BLG Elk,5
391005,2677232,JDG knight,6
391138,2677232,JDG Ruler,5
399222,2677232,JDG MISSING,5
405460,2677232,BLG Yagao,6
408521,2677232,BLG Bin,7
420144,2677232,BLG XUN,5
427052,2677232,JDG Kanavi,6
445205,2677232,JDG 369,7
445470,2677232,BLG ON,5
450615,2677232,JDG knight,7
458652,2677232,JDG Ruler,6
482187,2677232,BLG Yagao,7
485922,2677232,BLG Elk,6
493688,2677232,BLG Bin,8
496296,2677232,JDG MISSING,6
520799,2677232,BLG XUN,6
530396,2677232,JDG 369,8
546370,2677232,BLG ON,6
556832,2677232,JDG knight,8
565421,2677232,JDG Kanavi,7
589027,2677232,BLG Elk,7
595126,2677232,JDG Ruler,7
604373,2677232,BLG Yagao,8
618975,2677232,BLG Bin,9
626619,2677232,BLG XUN,7
635293,2677232,JDG 369,9
637761,2677232,JDG knight,9
676652,2677232,BLG Elk,8
681088,2677232,JDG Ruler,8
681354,2677232,JDG Kanavi,8
706723,2677232,BLG Yagao,9
716116,2677232,JDG 369,10
745627,2677232,JDG knight,10
753903,2677232,JDG MISSING,7
756134,2677232,JDG Ruler,9
770651,2677232,BLG Bin,10
773087,2677232,JDG Kanavi,9
796270,2677232,BLG ON,7
816307,2677232,BLG XUN,8
824289,2677232,JDG 369,11
846047,2677232,JDG knight,11
855647,2677232,BLG Yagao,10
871366,2677232,JDG Ruler,10
878534,2677232,BLG Elk,9
884948,2677232,BLG ON,8
888313,2677232,BLG Bin,11
896896,2677232,JDG Kanavi,10
931747,2677232,JDG MISSING,8
937286,2677232,BLG XUN,9
962118,2677232,BLG Elk,10
963118,2677232,JDG knight,12
974735,2677232,JDG 369,12
977272,2677232,BLG Yagao,11
994402,2677232,JDG Ruler,11
1019602,2677232,BLG Bin,12
1042658,2677232,JDG Kanavi,11
1076065,2677232,JDG MISSING,9
1084701,2677232,BLG ON,9
1112444,2677232,JDG knight,13
1130197,2677232,BLG Elk,11
1133975,2677232,BLG XUN,10
1149622,2677232,JDG 369,13
1159721,2677232,BLG Yagao,12
1160522,2677232,JDG Ruler,12
1160555,2677232,JDG Kanavi,12
1197139,2677232,JDG knight,14
1223833,2677232,JDG 369,14
1223833,2677232,JDG Kanavi,13
1223833,2677232,JDG MISSING,10
1224332,2677232,BLG Bin,13
1232937,2677232,JDG Ruler,13
1251854,2677232,BLG XUN,11
1261696,2677232,BLG Elk,12
1267465,2677232,JDG knight,15
1295173,2677232,BLG Yagao,13
1302046,2677232,BLG ON,10
